股票代號,股票名稱,股數,持股權重
2330,台積電,11960000,9.77
2383,台光電,4486000,7.99
2327,國巨*,23292000,7.85
2454,聯發科,4861000,7.42
2345,智邦,6334000,5.41
6223,旺矽,2279000,5.01
2308,台達電,6572000,4.85
6669,緯穎,2492000,4.33
3037,欣興,12466000,4.22
3017,奇鋐,5191000,4.2
2368,金像電,8315000,3.9
2303,聯電,77390000,3.71
3711,日月光投控,17948000,3.66
3665,貿聯-KY,4833848,3.46
8046,南電,10828000,3.28
3653,健策,2267000,3.1
6274,台燿,4927000,2.82
5274,信驊,422000,2.67
6515,穎崴,436000,1.41
6510,精測,930000,1.13
6805,富世達,1811000,1.06
8210,勤誠,2267000,1.04
2317,鴻海,7307000,0.68
3533,嘉澤,852000,0.67
8996,高力,1034000,0.54
6187,萬潤,1334000,0.53
6147,頎邦,6275000,0.49
3443,創意,258000,0.45
5439,高技,3528000,0.39
4966,譜瑞-KY,1642000,0.38
8150,南茂,11635000,0.38
2449,京元電子,3645000,0.35
4958,臻鼎-KY,1428000,0.31
6278,台表科,4334000,0.3
1590,亞德客-KY,530000,0.24
8358,金居,980000,0.21
6191,精成科,3988000,0.14
6488,環球晶,350000,0.13
3376,新日興,1741000,0.12
6271,同欣電,1466000,0.11
2002,中鋼,5163000,0.03
2313,華通,329000,0.03
3264,欣銓,1000,0.0
3661,世芯-KY,1000,0.0
1815,富喬,107000,0.0
2439,美律,18000,0.0
3008,大立光,1000,0.0
2382,廣達,1000,0.0
5347,世界,1000,0.0
2481,強茂,5000,0.0
